value	analysis	user	time
Egr1	Expression Box Plots	d92bd354-1572-4b8e-b0ab-e34c9dd66365	2025-12-08 09:05:37
Sox2	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 09:58:32
Kcna4	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 09:58:42
Fshb	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 09:59:43
Foxl2	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 09:59:54
Kcna4	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 10:00:43
Supt16	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 10:00:58
Kcna4	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 10:01:15
Kcna4	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 10:02:04
Kcna4	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 10:02:08
Kcna4	Expression Box Plots	af6f1e77-03c2-4356-a1b4-c4a7abd72338	2025-12-16 10:02:32
Sox2	Age Correlation	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:13:42
Sox2	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:13:47
Id1	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:13:54
Id2	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:14:04
Id3	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:14:14
Smad6	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:14:23
Smad6	Age Correlation	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:14:37
Id1	Age Correlation	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:14:46
Id2	Age Correlation	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:15:14
Id3	Age Correlation	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:15:23
Id3	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:15:34
Bmp1	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-06 14:15:42
Pax7	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-07 12:21:15
Crhr1	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-07 12:22:27
Pax7	Expression Box Plots	6147bd4a-02cf-4d42-8f47-5b9574eb174d	2026-01-07 14:10:38
Sox2	Expression Box Plots	cef61126-1312-4ad9-a9ec-7cabb17692b9	2025-12-11 20:25:29
Sox2	Expression Box Plots	cef61126-1312-4ad9-a9ec-7cabb17692b9	2025-12-11 20:25:33
Sox2	Expression Box Plots	f2eeadde-a545-4ccc-ade7-4493334b2d31	2026-02-02 22:21:38
Sox2	Age Correlation	f2eeadde-a545-4ccc-ade7-4493334b2d31	2026-02-02 22:21:45
Sox2	Age Correlation	f2eeadde-a545-4ccc-ade7-4493334b2d31	2026-02-02 22:22:10
['Sox2']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:50:06
['Pitx1', 'Pitx2', 'Lhx3']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:50:16
['Pitx1', 'Pitx2', 'Lhx3', 'Lhx4']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:50:18
['Pitx1', 'Pitx2', 'Lhx3', 'Lhx4', 'Hesx1']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:51:23
['Pitx1', 'Pitx2', 'Lhx3', 'Lhx4']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:51:29
['Pitx1', 'Pitx2', 'Lhx3', 'Lhx4', 'Isl1']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:53:26
['Pitx1', 'Pitx2', 'Lhx3', 'Lhx4']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:53:43
['Pitx1', 'Pitx2', 'Lhx3']	Dot Plot	67127699-5400-477f-9972-c0260cac9ef9	2026-01-26 07:53:46
Sox2	Expression Box Plots	640bf69a-02d1-44e0-91bf-68f14e56724f	2026-01-13 14:49:41
Lhx3	Expression Box Plots	640bf69a-02d1-44e0-91bf-68f14e56724f	2026-01-13 14:49:47
Lhx3	Expression Box Plots	640bf69a-02d1-44e0-91bf-68f14e56724f	2026-01-13 14:58:37
Sox2	Expression Box Plots	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:08:22
Mbd2	Expression Box Plots	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:08:40
Mbd2	UMAP Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:16:52
Mbd2	Age Correlation	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:17:06
Mbd2	Age Correlation	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:18:00
Mbd2	Isoform Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:18:32
['Mbd2']	Dot Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:19:31
Mbd2	UMAP Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:20:11
['Sox2', 'Sox9']	Gene-Gene Correlation	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:21:52
['Mbd2', 'Sox9']	Gene-Gene Correlation	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:22:09
['Mbd2', 'Sox9']	Gene-Gene Correlation	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:22:17
['Mbd2', 'Oasl1']	Gene-Gene Correlation	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:22:33
Mbd2	Expression Box Plots	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:24:56
Mbd2	UMAP Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:26:05
Mbd2	UMAP Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:26:34
Gnrhr	UMAP Plot	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:27:09
chr10:100009655-100010156	Accessibility Distribution	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:28:30
chr5:86177325-86201330	Genome Browser	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:28:35
chr10:100009655-100010156	Accessibility Distribution	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:29:11
chr18:70556601-70637719	Genome Browser	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:29:16
MA0143.4_SOX2	ChromVAR	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:30:00
	Cell Type Proportions ATAC	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:30:27
grouping_2_up	Multimodal Heatmap	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:32:14
grouping_1_down	Multimodal Heatmap	65d5a0a8-5840-40d7-aa58-25d162fa5546	2025-12-03 19:34:37
Sox2	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:32:32
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:32:48
Acvr2b	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:33:45
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:34:17
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:34:20
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:35:09
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:35:34
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:35:51
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:05
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:13
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:22
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:27
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:36
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:40
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:45
Acvr1c	Expression Box Plots	8b124ee9-7f31-4914-a0cf-eb320134a89e	2025-12-17 13:36:49
Sox2	Expression Box Plots	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:39:13
Mecom	Expression Box Plots	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:39:33
chr10:100009655-100010156	Accessibility Distribution	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:40:16
chr3:29831954-30667350	Genome Browser	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:40:21
chr10:100009655-100010156	Accessibility Distribution	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:41:34
chr3:29831954-30667350	Genome Browser	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:41:39
chr10:100009655-100010156	Accessibility Distribution	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:42:55
chr3:34650405-34652461	Genome Browser	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:43:00
chr10:100009655-100010156	Accessibility Distribution	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:43:06
chr3:29831954-30667350	Genome Browser	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:43:11
MA0143.4_SOX2	ChromVAR	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:48:02
MA0029.1_Mecom	ChromVAR	fc0dd8e7-fd34-4c3a-95d6-35eb58e89ddc	2026-02-02 15:48:10
['Sox2']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:23:54
['Pitx1']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:23:59
['Pitx1', 'Pitx2']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:24:14
['Pitx1', 'Pitx2', 'Lhx2']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:24:20
['Pitx1', 'Pitx2', 'Lhx2', 'Lhx3', 'Lhx4']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:24:25
['Chgb']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:27:11
['Chgb']	Dot Plot	438cb47e-3ad6-4b96-8bfa-d6831066517b	2026-01-05 17:49:51
['SRX8489835', 'Sox2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:35:25
['SRX8602211', 'Sox2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:35:33
['SRX8602212', 'Sox2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:36:02
['SRX26708357', 'Sox2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:36:27
['SRX6699502', 'Sox2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:37:26
['SRX4736337', 'Sox2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:37:39
['SRX4736337', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:38:21
['SRX4736338', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:39:03
['SRX15581371', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:39:51
['SRX22219346', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:41:31
['SRX21986105', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:42:19
['SRX21168594', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:44:32
['SRX21168593', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:44:54
['SRX21168595', 'Mbd2']	Individual Dataset RNA	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:45:50
['GSM4594390', 'chr10:100009655-100010156']	Individual Dataset ATAC	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:46:15
['GSM4790066', 'chr10:100009655-100010156']	Individual Dataset ATAC	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:46:47
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:47:50
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:48:21
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:48:30
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:48:44
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:49:00
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:49:08
Mbd2	Expression Box Plots	2affb3ca-fe8c-46cc-bd82-5b7dc1d30823	2025-12-22 12:49:32
Sox2	Expression Box Plots	9279774c-7244-4ad0-a35c-2efd09e092ca	2026-01-03 10:30:42
Mbd3	Expression Box Plots	9279774c-7244-4ad0-a35c-2efd09e092ca	2026-01-03 10:30:57
Mbd3	UMAP Plot	9279774c-7244-4ad0-a35c-2efd09e092ca	2026-01-03 10:31:20
Mbd3	UMAP Plot	9279774c-7244-4ad0-a35c-2efd09e092ca	2026-01-03 10:31:25
Mbd3	UMAP Plot	9279774c-7244-4ad0-a35c-2efd09e092ca	2026-01-03 10:31:58
Mbd2	UMAP Plot	9279774c-7244-4ad0-a35c-2efd09e092ca	2026-01-03 10:32:38
Sox2	Expression Box Plots	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:04:23
Mecom	Expression Box Plots	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:04:30
MA0143.4_SOX2	ChromVAR	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:05:06
MA0029.1_Mecom	ChromVAR	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:05:15
Mecom	Expression Box Plots	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:09:22
Tead1	Expression Box Plots	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:09:27
MA0143.4_SOX2	ChromVAR	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:09:59
MA0090.3_TEAD1	ChromVAR	4e145aea-13b6-495e-b0ff-ca3446075898	2026-01-23 11:10:06
Sox2	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:21:14
Sox2	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:21:35
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:21:52
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:22:38
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:23:04
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:23:45
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:23:57
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:24:05
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:24:08
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:24:13
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:24:28
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:24:33
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:24:55
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:25:00
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:25:16
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:25:25
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:25:31
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:26:18
Gpr149	Expression Box Plots	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:26:30
['Sox2', 'Sox9']	Gene-Gene Correlation	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:26:49
	Cell Type Proportions	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:27:08
['Gpr149']	Dot Plot	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:27:28
Gpr149	Age Correlation	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:28:55
Gpr149	Age Correlation	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:29:19
Gpr149	Age Correlation	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:30:01
Gpr149	Isoform Plot	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:30:28
['Sox2', 'Sox9']	Gene-Gene Correlation	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:32:49
[['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs'], ['Somatotrophs', 'Lactotrophs', 'Thyrotrophs', 'Corticotrophs', 'Melanotrophs', 'Stem_cells', 'Gonadotrophs']]	Ligand-Receptor Interactions	f7933db7-676b-40df-a762-7508f4f6e0f1	2025-12-19 20:33:27
['Sox2']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:15:49
['Sox2', 'Ctss']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:15:54
['Sox2', 'Ctss', 'Adgrl4']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:16:43
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:16:48
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:16:50
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:16:52
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g', 'Gnrhr', 'Crhr1', 'Tyrobp']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:16:58
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g', 'Gnrhr', 'Crhr1', 'Tyrobp', 'Itih5']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:17:12
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g', 'Gnrhr', 'Crhr1', 'Tyrobp', 'Itih5', 'Pzp']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:17:16
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g', 'Gnrhr', 'Crhr1', 'Tyrobp', 'Itih5', 'Pzp', 'Tinagl1', 'Oacyl']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:17:22
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g', 'Gnrhr', 'Crhr1', 'Tyrobp', 'Itih5', 'Pzp', 'Tinagl1', 'Oacyl', 'Cdh8']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:17:27
['Sox2', 'Ctss', 'Adgrl4', 'Fndc3c1', 'Fyb1', 'Fcer1g', 'Gnrhr', 'Crhr1', 'Tyrobp', 'Itih5', 'Pzp', 'Tinagl1', 'Oacyl', 'Cdh8', 'Trhr', 'Emcn']	Dot Plot	d36f7a2e-1a26-41cf-9c9a-2f31677b68d7	2026-01-27 17:17:32
